Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,97.62000274658203,98.47000122070312,97.37999725341797,98.33999633789062,90.6637954711914,828000
2020-01-03,97.2699966430664,98.16999816894531,97.2699966430664,97.70999908447266,90.08296966552734,503800
2020-01-06,97.4000015258789,98.05999755859375,96.76000213623047,97.69000244140625,90.06451416015625,686200
2020-01-07,97.75,98.05000305175781,97.22000122070312,97.54000091552734,89.92625427246094,781200
2020-01-08,97.47000122070312,98.02999877929688,96.95999908447266,97.0,89.42838287353516,1080000
2020-01-09,97.66999816894531,97.79000091552734,96.87999725341797,97.4000015258789,89.79716491699219,750100
2020-01-10,97.52999877929688,97.58000183105469,96.41000366210938,96.5,88.96741485595703,387800
2020-01-13,96.97000122070312,97.5999984741211,96.69999694824219,97.58999633789062,89.97232055664062,559500
2020-01-14,97.4000015258789,97.62000274658203,96.91000366210938,97.29000091552734,89.69573974609375,788800
2020-01-15,97.81999969482422,97.87000274658203,96.95999908447266,97.19000244140625,89.60355377197266,736400
2020-01-16,97.75,98.7300033569336,97.63999938964844,98.47000122070312,90.78363800048828,699800
2020-01-17,98.4000015258789,99.23999786376953,98.05999755859375,99.04000091552734,91.30915069580078,1855000
2020-01-21,99.1500015258789,101.1500015258789,98.95999908447266,100.58999633789062,92.73816680908203,1115200
2020-01-22,100.97000122070312,101.30999755859375,100.08000183105469,100.22000122070312,92.39703369140625,502800
2020-01-23,100.11000061035156,100.80999755859375,99.63999938964844,100.55999755859375,92.71049499511719,500200
2020-01-24,100.62000274658203,100.97000122070312,99.1500015258789,99.58999633789062,91.81619262695312,423400
2020-01-27,98.26000213623047,99.12000274658203,97.51000213623047,98.43000030517578,90.74676513671875,923700
2020-01-28,99.73999786376953,102.41999816894531,99.0199966430664,101.91999816894531,93.9643325805664,826100
2020-01-29,102.3499984741211,102.3499984741211,100.51000213623047,100.52999877929688,92.68284606933594,568100
